group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
344,vec_pragma,0.4002454876899719,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
345,tile,0.360467791557312,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
346,tile,0.3591648042201996,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
347,tile,0.3584175705909729,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
348,tile,0.4214055240154266,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
349,tile,0.4203343689441681,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
350,tile,0.4196973145008087,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
351,vec_pragma,0.8375216126441956,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
352,vec_pragma,0.8466041684150696,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
353,vec_pragma,0.8485114574432373,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
354,vec_pragma,0.706848680973053,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
355,vec_pragma,0.7231812477111816,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
356,vec_pragma,0.7260760068893433,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
357,vec_pragma,0.637118399143219,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
358,vec_pragma,0.655744731426239,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
359,vec_pragma,0.6594247817993164,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
360,vec_pragma,0.7019726037979126,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
361,vec_pragma,0.7111886739730835,2e-06,2e-06,5e-06,1.0,2.5000000000000004,1.0,2.499250374812594
362,vec_pragma,0.7147100567817688,2e-06,2e-06,5e-06,1.0,2.5000000000000004,1.0,2.499250374812594
363,vec_pragma,0.5194278955459595,2e-06,2e-06,5e-06,1.0,2.5000000000000004,1.0,2.499250374812594
364,vec_pragma,0.5306744575500488,2e-06,2e-06,5e-06,1.0,2.5000000000000004,1.0,2.499250374812594
365,vec_pragma,0.534487783908844,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
366,vec_pragma,0.4221822619438171,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
367,vec_pragma,0.4333922564983368,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
368,vec_pragma,0.4371122419834137,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
369,vec_pragma,0.5548655390739441,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
370,vec_pragma,0.5635322332382202,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
371,vec_pragma,0.5685052275657654,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
372,vec_pragma,0.3586727678775787,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
373,vec_pragma,0.3653797507286072,2e-06,2e-06,4e-06,1.0,2.0,1.0,1.9995002498750623
374,vec_pragma,0.3693090379238128,2e-06,2e-06,4.5e-06,1.0,2.25,1.0,2.249375312343828
375,tile,0.3334006667137146,2e-06,4.5e-06,4.5e-06,2.25,1.0,2.249375312343828,1.0
376,tile,0.3408192694187164,2e-06,4.5e-06,4e-06,2.25,0.8888888888888888,2.249375312343828,0.8889135747611641
377,tile,0.3393107652664184,2e-06,5e-06,4.5e-06,2.5000000000000004,0.8999999999999999,2.499250374812594,0.9000199960007997
378,vec_pragma,0.9342320561408995,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
379,vec_pragma,0.9401169419288636,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
380,vec_pragma,0.9440023899078368,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
381,vec_pragma,0.867807924747467,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
382,vec_pragma,0.8801420331001282,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
383,vec_pragma,0.8876223564147949,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
384,vec_pragma,0.8118999600410461,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
385,vec_pragma,0.8273727297782898,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
386,vec_pragma,0.8369774222373962,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
387,vec_pragma,0.8612175583839417,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
388,vec_pragma,0.8707391023635864,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
389,vec_pragma,0.8755433559417725,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
390,vec_pragma,0.7568981051445007,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
391,vec_pragma,0.7697142958641052,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
392,vec_pragma,0.7755885124206543,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
393,vec_pragma,0.6768695116043091,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
394,vec_pragma,0.6896626949310303,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
395,vec_pragma,0.6956399083137512,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
396,vec_pragma,0.7635173201560974,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
